"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap","camtype"
"Imagestoclassify","PS25__CamB__2022-12-31__06-00-54(1).JPG","BrendanAltingMLDP2023Images\PS25\CamB",2022-12-31 06:00:54,"false","true","false","false","false","Dingo","false","false",2,0,2022-12-31,"UOF1801",343462,TRUE,"PS25","Trail"
"Imagestoclassify","PS25__CamA__2022-12-31__06-00-56(1).JPG","BrendanAltingMLDP2023Images\PS25\CamA",2022-12-31 06:00:56,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-31,"UOM2001",343454,TRUE,"PS25","Trail"
"Imagestoclassify","PS2__CamB__2022-12-31__14-19-52(1).JPG","BrendanAltingMLDP2023Images\PS2\CamB",2022-12-31 14:19:52,"false","true","false","false","false","Dingo","false","false",1,0,2022-12-31,"WTU2105",1466746,TRUE,"PS2","Trail"
"Imagestoclassify","PS14__CamB__2023-01-02__00-12-31(1).JPG","BrendanAltingMLDP2023Images\PS14\CamB",2023-01-02 00:12:31,"false","true","false","false","false","Dingo","false","true",1,0,2023-01-02,"YGM2102",574094,TRUE,"PS14","Trail"
"Imagestoclassify","PS12__CamB__2023-01-02__08-56-39(1).JPG","BrendanAltingMLDP2023Images\PS12\CamB",2023-01-02 08:56:39,"false","true","false","false","false","Dingo","false","false",2,0,2023-01-02,"UOM2001",183326,TRUE,"PS12","Trail"
"Imagestoclassify","PS12__CamB__2023-01-02__08-56-46(4).JPG","BrendanAltingMLDP2023Images\PS12\CamB",2023-01-02 08:56:46,"false","true","false","false","false","Dingo","false","false",2,0,2023-01-02,"UOF1801",183350,TRUE,"PS12","Trail"
"Imagestoclassify","PS21__CamA__2023-01-03__06-15-41(1).JPG","BrendanAltingMLDP2023Images\PS21\CamA",2023-01-03 06:15:41,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-03,"UOM2007",297322,TRUE,"PS21","Trail"
"Imagestoclassify","PS21__CamA__2023-01-05__12-58-39(1).JPG","BrendanAltingMLDP2023Images\PS21\CamA",2023-01-05 12:58:39,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-05,"UOM2007",196949,TRUE,"PS21","Trail"
"Imagestoclassify","PS3__CamB__2023-01-05__17-18-20(1).JPG","BrendanAltingMLDP2023Images\PS3\CamB",2023-01-05 17:18:20,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-05,"UOM1707",853620,TRUE,"PS3","Trail"
"Imagestoclassify","PS12__CamA__2023-01-07__06-43-13(1).JPG","BrendanAltingMLDP2023Images\PS12\CamA",2023-01-07 06:43:13,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-07,"UOM2001",423994,TRUE,"PS12","Trail"
"Imagestoclassify","PS15__CamB__2023-01-07__11-22-10(1).JPG","BrendanAltingMLDP2023Images\PS15\CamB",2023-01-07 11:22:10,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-07,"YGM2102",472178,TRUE,"PS15","Trail"
"Imagestoclassify","PS18__CamA__2023-01-07__12-58-34(1).JPG","BrendanAltingMLDP2023Images\PS18\CamA",2023-01-07 12:58:34,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-07,"YGM2102",5652,TRUE,"PS18","Trail"
"Imagestoclassify","PS2__CamB__2023-01-07__14-53-13(1).JPG","BrendanAltingMLDP2023Images\PS2\CamB",2023-01-07 14:53:13,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-07,"UOF2009",1315709,TRUE,"PS2","Trail"
"Imagestoclassify","PS1__CamA__2023-01-07__17-15-17(1).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2023-01-07 17:15:17,"false","true","false","false","false","Dingo","false","false",2,0,2023-01-07,"UOF1709",987867,TRUE,"PS1","Trail"
"Imagestoclassify","PS1__CamA__2023-01-07__17-15-20(4).JPG","BrendanAltingMLDP2023Images\PS1\CamA",2023-01-07 17:15:20,"false","true","false","false","false","Dingo","false","false",2,0,2023-01-07,"UOM2004",987621,TRUE,"PS1","Trail"
"Imagestoclassify","PS21__CamA__2023-01-08__07-44-42(1).JPG","BrendanAltingMLDP2023Images\PS21\CamA",2023-01-08 07:44:42,"false","true","false","false","false","Dingo","false","false",2,3,2023-01-08,"UOM2007",240341,TRUE,"PS21","Trail"
"Imagestoclassify","PS21__CamA__2023-01-08__07-44-47(4).JPG","BrendanAltingMLDP2023Images\PS21\CamA",2023-01-08 07:44:47,"false","true","false","false","false","Dingo","false","false",2,3,2023-01-08,"MBF1701",1119643,TRUE,"PS21","Trail"
"Imagestoclassify","PS12__CamA__2023-01-08__19-40-16(1).JPG","BrendanAltingMLDP2023Images\PS12\CamA",2023-01-08 19:40:16,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-08,"UOF1801",557010,TRUE,"PS12","Trail"
"Imagestoclassify","PS2__CamB__2023-01-10__19-40-49(1).JPG","BrendanAltingMLDP2023Images\PS2\CamB",2023-01-10 19:40:49,"false","true","false","false","false","Dingo","true","false",1,0,2023-01-10,"WTU2105",883256,TRUE,"PS2","Trail"
"Imagestoclassify","PS14__CamB__2023-01-11__00-34-47(1).JPG","BrendanAltingMLDP2023Images\PS14\CamB",2023-01-11 00:34:47,"false","true","false","false","false","Dingo","false","true",1,0,2023-01-11,"YGM2102",300937,TRUE,"PS14","Trail"
"Imagestoclassify","PS6__CamB__2023-01-11__17-59-36(1).JPG","BrendanAltingMLDP2023Images\PS6\CamB",2023-01-11 17:59:36,"false","true","false","false","false","Dingo","false","false",3,3,2023-01-11,"SLF1501",1853030,TRUE,"PS6","Trail"
"Imagestoclassify","PS6__CamB__2023-01-11__17-59-43(4).JPG","BrendanAltingMLDP2023Images\PS6\CamB",2023-01-11 17:59:43,"false","true","false","false","false","Dingo","false","false",3,3,2023-01-11,"UOM2002",1600951,TRUE,"PS6","Trail"
"Imagestoclassify","PS6__CamA__2023-01-11__18-00-28(1).JPG","BrendanAltingMLDP2023Images\PS6\CamA",2023-01-11 18:00:28,"false","true","false","false","false","Dingo","false","false",3,3,2023-01-11,"SLF2105",2607604,TRUE,"PS6","Trail"
"Imagestoclassify","PS2__CamA__2023-01-12__05-46-47(1).JPG","BrendanAltingMLDP2023Images\PS2\CamA",2023-01-12 05:46:47,"false","true","false","false","false","Dingo","false","true",1,0,2023-01-12,"WTU2105",122697,TRUE,"PS2","Trail"
"Imagestoclassify","PS3__CamA__2023-01-12__06-38-16(1).JPG","BrendanAltingMLDP2023Images\PS3\CamA",2023-01-12 06:38:16,"false","true","false","false","false","Dingo","false","false",2,3,2023-01-12,"UOF1906",1594836,TRUE,"PS3","Trail"
"Imagestoclassify","PS3__CamA__2023-01-12__17-45-13(1).JPG","BrendanAltingMLDP2023Images\PS3\CamA",2023-01-12 17:45:13,"false","true","false","false","false","Dingo","false","false",1,0,2023-01-12,"UOF1906",40014,TRUE,"PS3","Trail"
