"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap"
"Imagestoclassify","Q22__2022-01-13__02-29-51(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-13 02:29:51,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-13,"QU2108",157683,TRUE,"Q22"
"Imagestoclassify","Q24__2023-01-13__03-44-33(1).JPG","BrendanAltingMLDP2023Images\Q24",2023-01-13 03:44:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-13,"QU2112",0,TRUE,"Q24"
"Imagestoclassify","Q12__2023-01-13__07-06-15(1).JPG","BrendanAltingMLDP2023Images\Q12",2023-01-13 07:06:15,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-13,"QU2103",1419715,TRUE,"Q12"
"Imagestoclassify","Q18__2023-01-13__23-56-57(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-01-13 23:56:57,"false","true","false","false","false","Quoll","false","false",0,0,2023-01-13,"QU2002",1648262,TRUE,"Q18"
"Imagestoclassify","Q18__2023-01-14__00-21-58(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-01-14 00:21:58,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-14,"QU2110",762477,TRUE,"Q18"
"Imagestoclassify","Q18__2023-01-14__02-00-01(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-01-14 02:00:01,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-14,"QU2110",5826,TRUE,"Q18"
"Imagestoclassify","Q27__2023-01-14__20-24-33(1).JPG","BrendanAltingMLDP2023Images\Q27",2023-01-14 20:24:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-14,"QU2113",1248980,TRUE,"Q27"
"Imagestoclassify","Q30__2023-01-14__21-15-48(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-14 21:15:48,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-14,"QU2118",0,TRUE,"Q30"
"Imagestoclassify","Q27__2023-01-14__21-40-33(1).JPG","BrendanAltingMLDP2023Images\Q27",2023-01-14 21:40:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-14,"QU2113",4493,TRUE,"Q27"
"Imagestoclassify","Q17__2023-01-14__23-38-44(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-14 23:38:44,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-14,"QU2108",162330,TRUE,"Q17"
"Imagestoclassify","Q15__2023-01-15__02-57-00(1).JPG","BrendanAltingMLDP2023Images\Q15",2023-01-15 02:57:00,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-15,"QU2105",0,TRUE,"Q15"
"Imagestoclassify","Q30__2023-01-15__04-29-27(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-15 04:29:27,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-15,"QU2118",25434,TRUE,"Q30"
"Imagestoclassify","Q33__2023-01-15__04-56-31(1).JPG","BrendanAltingMLDP2023Images\Q33",2023-01-15 04:56:31,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-15,"QU2205",1759455,TRUE,"Q33"
"Imagestoclassify","Q30__2023-01-15__20-14-58(1).JPG","BrendanAltingMLDP2023Images\Q30",2023-01-15 20:14:58,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-15,"QU2118",56527,TRUE,"Q30"
"Imagestoclassify","Q22__2022-01-15__21-16-59(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-15 21:16:59,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-15,"QU2112",235452,TRUE,"Q22"
"Imagestoclassify","Q18__2023-01-16__00-53-04(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-01-16 00:53:04,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-16,"QU2109",1041636,TRUE,"Q18"
"Imagestoclassify","Q22__2022-01-16__21-40-33(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-16 21:40:33,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-16,"QU2004",826978,TRUE,"Q22"
"Imagestoclassify","Q22__2022-01-17__07-39-31(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-17 07:39:31,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-17,"QU2202",625417,TRUE,"Q22"
"Imagestoclassify","Q26__2023-01-17__17-57-59(1).JPG","BrendanAltingMLDP2023Images\Q26",2023-01-17 17:57:59,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-17,"QU2117",550865,TRUE,"Q26"
"Imagestoclassify","Q18__2023-01-18__01-32-43(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-01-18 01:32:43,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-18,"QU2110",343843,TRUE,"Q18"
"Imagestoclassify","Q17__2023-01-19__03-05-11(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-19 03:05:11,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-19,"QU2107",1115792,TRUE,"Q17"
