"Parameter","Type","Estimate","SE","z","P...z..","LCI","UCI","Species"
"scaled_campdist","state",0.491836672641208,0.157966148743906,3.11355740804046,0.00184846545433834,0.182228710326656,0.80144463495576,"Fox"
"scaled_urbdist","state",0.28377070854917,0.186277233449006,1.52337837155421,0.127664069926638,-0.0813259601506414,0.648867377248982,"Fox"
"TrailTypeUnsealedroad","det",0.85856951726027,0.366187300308476,2.34461849588179,0.019046557199642,0.140855597059705,1.57628343746083,"Fox"
"TrailTypeWalktrail","det",1.0590055960917,0.492571062229272,2.14995495532943,0.0315587779919075,0.0935840542956919,2.02442713788771,"Fox"
"scaled_campdist","state",-0.109271823910227,0.253210398466739,-0.431545562788491,0.666071730737953,-0.60555508541607,0.387011437595617,"Goanna"
"scaled_urbdist","state",0.208551986254441,0.234721869253065,0.888506839682631,0.374268178351389,-0.251494423865487,0.668598396374368,"Goanna"
"TrailTypeUnsealedroad","det",1.16480302488129,0.591762406637907,1.96836266010731,0.049026325001897,0.00497002046624861,2.32463602929634,"Goanna"
"TrailTypeWalktrail","det",1.67200844180633,0.502575074046813,3.32688294376213,0.000878232569587569,0.686979397147028,2.65703748646564,"Goanna"
